GPU 0: NVIDIA B200 (UUID: GPU-c1aa69dc-f1e5-e51b-aeff-3def54bd14f5)
	 Link 0: 53.125 GB/s
	 Link 1: 53.125 GB/s
	 Link 2: 53.125 GB/s
	 Link 3: 53.125 GB/s
	 Link 4: 53.125 GB/s
	 Link 5: 53.125 GB/s
	 Link 6: 53.125 GB/s
	 Link 7: 53.125 GB/s
	 Link 8: 53.125 GB/s
	 Link 9: 53.125 GB/s
	 Link 10: 53.125 GB/s
	 Link 11: 53.125 GB/s
	 Link 12: 53.125 GB/s
	 Link 13: 53.125 GB/s
	 Link 14: 53.125 GB/s
	 Link 15: 53.125 GB/s
	 Link 16: 53.125 GB/s
	 Link 17: 53.125 GB/s
GPU 1: NVIDIA B200 (UUID: GPU-26e1f43d-9e6e-0fd0-aafb-acc927c15f0a)
	 Link 0: 53.125 GB/s
	 Link 1: 53.125 GB/s
	 Link 2: 53.125 GB/s
	 Link 3: 53.125 GB/s
	 Link 4: 53.125 GB/s
	 Link 5: 53.125 GB/s
	 Link 6: 53.125 GB/s
	 Link 7: 53.125 GB/s
	 Link 8: 53.125 GB/s
	 Link 9: 53.125 GB/s
	 Link 10: 53.125 GB/s
	 Link 11: 53.125 GB/s
	 Link 12: 53.125 GB/s
	 Link 13: 53.125 GB/s
	 Link 14: 53.125 GB/s
	 Link 15: 53.125 GB/s
	 Link 16: 53.125 GB/s
	 Link 17: 53.125 GB/s
GPU 2: NVIDIA B200 (UUID: GPU-8095dbe3-5891-c475-529f-4c7cfb2e636a)
	 Link 0: 53.125 GB/s
	 Link 1: 53.125 GB/s
	 Link 2: 53.125 GB/s
	 Link 3: 53.125 GB/s
	 Link 4: 53.125 GB/s
	 Link 5: 53.125 GB/s
	 Link 6: 53.125 GB/s
	 Link 7: 53.125 GB/s
	 Link 8: 53.125 GB/s
	 Link 9: 53.125 GB/s
	 Link 10: 53.125 GB/s
	 Link 11: 53.125 GB/s
	 Link 12: 53.125 GB/s
	 Link 13: 53.125 GB/s
	 Link 14: 53.125 GB/s
	 Link 15: 53.125 GB/s
	 Link 16: 53.125 GB/s
	 Link 17: 53.125 GB/s
GPU 3: NVIDIA B200 (UUID: GPU-49ae7775-a32e-1b14-d20c-211152770c5b)
	 Link 0: 53.125 GB/s
	 Link 1: 53.125 GB/s
	 Link 2: 53.125 GB/s
	 Link 3: 53.125 GB/s
	 Link 4: 53.125 GB/s
	 Link 5: 53.125 GB/s
	 Link 6: 53.125 GB/s
	 Link 7: 53.125 GB/s
	 Link 8: 53.125 GB/s
	 Link 9: 53.125 GB/s
	 Link 10: 53.125 GB/s
	 Link 11: 53.125 GB/s
	 Link 12: 53.125 GB/s
	 Link 13: 53.125 GB/s
	 Link 14: 53.125 GB/s
	 Link 15: 53.125 GB/s
	 Link 16: 53.125 GB/s
	 Link 17: 53.125 GB/s
GPU 4: NVIDIA B200 (UUID: GPU-684cda98-06fa-aa13-aa5e-7cb4eec38401)
	 Link 0: 53.125 GB/s
	 Link 1: 53.125 GB/s
	 Link 2: 53.125 GB/s
	 Link 3: 53.125 GB/s
	 Link 4: 53.125 GB/s
	 Link 5: 53.125 GB/s
	 Link 6: 53.125 GB/s
	 Link 7: 53.125 GB/s
	 Link 8: 53.125 GB/s
	 Link 9: 53.125 GB/s
	 Link 10: 53.125 GB/s
	 Link 11: 53.125 GB/s
	 Link 12: 53.125 GB/s
	 Link 13: 53.125 GB/s
	 Link 14: 53.125 GB/s
	 Link 15: 53.125 GB/s
	 Link 16: 53.125 GB/s
	 Link 17: 53.125 GB/s
GPU 5: NVIDIA B200 (UUID: GPU-a3cf7f8b-d4af-3c33-9ae4-14d8f42fb948)
	 Link 0: 53.125 GB/s
	 Link 1: 53.125 GB/s
	 Link 2: 53.125 GB/s
	 Link 3: 53.125 GB/s
	 Link 4: 53.125 GB/s
	 Link 5: 53.125 GB/s
	 Link 6: 53.125 GB/s
	 Link 7: 53.125 GB/s
	 Link 8: 53.125 GB/s
	 Link 9: 53.125 GB/s
	 Link 10: 53.125 GB/s
	 Link 11: 53.125 GB/s
	 Link 12: 53.125 GB/s
	 Link 13: 53.125 GB/s
	 Link 14: 53.125 GB/s
	 Link 15: 53.125 GB/s
	 Link 16: 53.125 GB/s
	 Link 17: 53.125 GB/s
